"116","DB Sitting ohp rotation","Wyciskanie hantli nad głowę siedząc z rotacją","PUSH VERTICAL, HIGH, BARKI","wyciskanie_hantli_nad_glowe_siedzac_z_rotacja.mp4"
"117","KB half kneeling one arm ohp","Wyciskanie kettla nad głowę w półklęku","PUSH VERTICAL, HIGH, BARKI","wyciskanie_kettla_nad_glowe_w_polkleku.mp4"
"118","KB kneeling ohp","Wyciskanie kettli nad głowę w klęku","PUSH VERTICAL, HIGH, BARKI","wyciskanie_kettli_nad_glowe_w_kleku.mp4"
"119","KB mix ohp","Naprzemienne wyciskanie kettli nad głowę","PUSH VERTICAL, HIGH, BARKI","naprzemienne_wyciskanie_kettli_nad_glowe.mp4"
"120","KB mix ohp bottom up","Naprzemienne wyciskanie odwróconych kettli nad głowę ","PUSH VERTICAL, HIGH, BARKI","naprzemienne_wyciskanie_odwroconych_kettli_nad_glowe.mp4"
"121","KB OHP","Wyciskanie kettli nad głowę","PUSH VERTICAL, HIGH, BARKI","wyciskanie_kettli_nad_glowe.mp4"
"122","KB sitting OHP","Wyciskanie kettli nad głowę siedząc","PUSH VERTICAL, HIGH, BARKI","wyciskanie_kettli_nad_glowe_siedzac.mp4"
"123","Powerband lateral rise","Wznosy bokiem z gumą","PUSH VERTICAL, HIGH, BARKI, GUMA","wznosy_bokiem_z_guma.mp4"
"124","Powerband one arm ohp","Wyciskanie gumy nad głowę jednorącz","PUSH VERTICAL, HIGH, BARKI, GUMA","wyciskanie_gumy_nad_glowe_jednoracz.mp4"
"125","Chin up","Podciąganie nadrążku podchwytem","PULL VERTICAL, HIGH, PLECY, DRĄŻEK","podciaganie_nadrazku_podchwytem.mp4"
"126","Kneeling cable lat pulldown","Ściąganie linek wyciągu w klęku","PULL VERTICAL, HIGH, PLECY, WYCIĄG","sciaganie_linek_wyciagu_w_kleku.mp4"
"127","Lat pulldown","Ściąganie drążka wyciągu górnego","PULL VERTICAL, HIGH, PLECY, WYCIĄG","sciaganie_drazka_wyciagu_gornego.mp4"
"128","Lat pulldown neutral grip","Ściąganie drążka wyciągu górnego chwytem neutralnym","PULL VERTICAL, HIGH, PLECY, WYCIĄG","sciaganie_drazka_wyciagu_gornego_chwytem_neutralnym.mp4"
"129","Lat pulldown reverse grip","Sciąganie drążka wyciągu górnego podchwytem","PULL VERTICAL, HIGH, PLECY, WYCIĄG","sciaganie_drazka_wyciagu_gornego_podchwytem.mp4"
"130","Powerband pulldown","Pionowe przyciąganie gumy siedząc","PULL VERTICAL, HIGH, PLECY, GUMA","pionowe_przyciaganie_gumy_siedzac.mp4"
"131","Powerband pulldown single arm","Pionowe przyciąganie gumy siedząc jednorącz","PULL VERTICAL, HIGH, PLECY, GUMA","pionowe_przyciaganie_gumy_siedzac_jednoracz.mp4"
"132","Pull up","Podciąganie na drążku nachwytem","PULL VERTICAL, HIGH, PLECY, DRĄŻEK","podciaganie_na_drazku_nachwytem.mp4"
"133","Pull up neutral grip","Podciąganie na drążku chwytem neutralnym","PULL VERTICAL, HIGH, PLECY, DRĄŻEK","podciaganie_na_drazku_chwytem_neutralnym.mp4"
